firstdigit-enter,writing_time,writing_speed,mind_condition,gulpease,time_key_before_enter_down,number_del,number_break
7499.0,7499.0,0.000933457794372583,2,100,1839.0,0,1
3163.0,3163.0,0.002213088839709137,2,95,1446.0,0,1
2532.0,2532.0,0.002764612954186414,3,100,41.0,0,1
5175.0,5175.0,0.0011594202898550724,3,95,2801.0,0,1
2677.0,2677.0,0.0014942099364960778,3,93,15.0,1,1
2697.0,2697.0,0.0025954764553207266,3,100,714.0,0,1
11092.0,11092.0,0.0005409304002884963,3,100,25.0,4,1
14385.0,14385.0,0.0006951685783802572,3,100,23.0,1,1
17450.0,17450.0,0.0013180515759312322,3,100,30.0,8,4
2970.0,2970.0,0.0026936026936026937,3,100,26.0,0,1
2292.0,2292.0,0.002617801047120419,3,100,36.0,0,2
3959.0,3959.0,0.0017681232634503663,3,100,30.0,1,2
7514.0,7514.0,0.0023955283470854403,3,88,795.0,0,2
4146.0,4146.0,0.00241196333815726,3,96,31.0,0,2
7514.0,7514.0,0.0011977641735427202,3,100,28.0,1,2
3927.0,3927.0,0.002546473134708429,3,97,30.0,0,2
2993.0,2993.0,0.0023387905111927833,3,100,528.0,0,1
3681.0,3681.0,0.0013583265417006249,3,100,25.0,1,1
2417.0,2417.0,0.0024824162184526274,3,100,369.0,1,3
14232.0,14232.0,0.0004918493535694211,3,76,11926.0,0,1
43488.0,43488.0,0.00016096394407652686,3,100,13274.0,7,7
4964.0,4964.0,0.0026188557614826753,3,100,38.0,0,2
1816.0,1816.0,0.0016519823788546256,3,95,24.0,0,1
1606.0,1606.0,0.0043586550435865505,2,100,600.0,0,2
1085.0,1085.0,0.003686635944700461,2,95,564.0,0,0
1516.0,1516.0,0.004617414248021108,2,93,691.0,0,1
2685.0,2685.0,0.0029795158286778397,2,100,581.0,0,1
2284.0,2284.0,0.0035026269702276708,2,100,4.0,0,1
1458.0,1458.0,0.003429355281207133,2,100,6.0,0,2
1392.0,1392.0,0.0028735632183908046,2,100,700.0,0,1
2741.0,2741.0,0.0021889821233126595,2,100,590.0,2,3
2134.0,2134.0,0.004686035613870665,2,100,4.0,0,2
1933.0,1933.0,0.004138644593895499,2,100,770.0,0,1
6102.0,6102.0,0.0027859718125204853,2,88,750.0,0,1
14325.0,14325.0,0.001675392670157068,2,96,3053.0,2,7
3674.0,3674.0,0.0024496461622210124,2,100,1023.0,0,2
1511.0,1511.0,0.003970880211780278,2,97,585.0,0,1
14393.0,14393.0,0.0014590425901479887,2,100,8315.0,0,4
1423.0,1423.0,0.004919184820801124,2,100,4.0,0,3
1820.0,1820.0,0.004945054945054945,2,100,446.0,0,1
2468.0,2468.0,0.0024311183144246355,2,76,740.0,1,1
6491.0,6491.0,0.0012324757356339548,2,100,1357.0,0,1
4977.0,4977.0,0.0020092425155716293,2,100,896.0,0,2
1705.0,1705.0,0.004105571847507331,2,95,630.0,0,2
110.0,110.0,0.00909090909090909,1,100,105.0,0,0
130.0,130.0,0.007692307692307693,1,95,127.0,0,0
101.0,101.0,0.009900990099009901,1,93,95.0,0,0
145.0,145.0,0.006896551724137931,1,100,142.0,0,0
132.0,132.0,0.007575757575757576,1,100,127.0,0,0
98.0,98.0,0.01020408163265306,1,100,92.0,0,0
